age,income,purchase_amount,satisfaction_score
33,48920,18177,5
30,39950,13642,7
33,29959,10801,6
36,45091,16138,4
30,13294,4709,5
35,22058,7294,4
25,43068,14033,2
27,41925,13664,5
37,30434,10953,4
32,18769,8024,5
21,23464,7759,4
24,11074,2316,5
29,40798,15592,5
34,42056,14809,4
30,21814,7372,4
33,46318,16859,6
34,30009,10114,4
37,42990,10937,5
30,9703,3538,5
30,43047,14408,5
22,17407,6142,5
30,36111,14341,4
27,40424,15517,4
26,31521,9615,6
29,7938,2589,5
35,40922,13098,7
21,25727,8405,5
28,22111,7874,5
31,10488,3372,4
26,14492,4717,5
31,10673,3629,3
32,9773,3955,5
30,9643,4031,7
19,41235,12627,7
41,16838,5845,4
29,10105,4364,4
33,6607,2473,2
31,28025,12682,6
35,34048,12173,5
34,15875,5693,5
29,46373,17856,4
32,16339,5765,3
26,35023,10259,5
34,39534,15578,5
28,10439,4038,5
41,7753,1753,5
23,15592,4665,4
28,24408,7806,4
34,42544,11805,5
32,34992,10615,4
27,27084,7323,4
26,13891,5510,6
31,19763,6478,4
30,39032,13794,6
22,44147,17362,4
30,26175,7418,5
31,42723,13045,5
31,41087,13315,5
25,45806,13282,6
32,32593,12289,5
36,42008,13351,5
32,20779,6412,6
25,42990,15991,6
28,14253,4487,4
32,33193,10499,5
27,37881,16165,4
20,19329,6796,3
34,15937,5345,4
26,45551,17274,5
27,14171,5348,5
37,6122,1729,5
27,43270,15992,5
34,26165,7130,3
24,38172,12982,5
28,7815,2275,5
30,35361,12264,4
25,39766,12387,5
27,23136,6827,5
30,24467,8375,4
33,18026,5131,4
23,34568,12277,5
28,30664,10766,3
33,10066,3505,6
28,8887,3392,5
31,8212,3702,6
32,48613,15510,5
31,7150,2005,6
33,16469,6304,6
29,18486,5011,5
28,9181,3096,6
18,12567,4828,6
30,35623,7502,6
32,5807,2046,7
32,41814,13261,4
28,40940,13390,6
38,27281,11166,5
31,7976,2817,4
31,40944,17549,5
36,17648,7367,4
27,28829,11280,5
28,11997,5201,5
41,17059,4513,6
30,48146,20023,5
37,22707,6800,5
24,23412,9072,2
29,39989,14499,5
32,7143,2367,5
31,5185,2070,6
26,45405,17613,3
30,35998,15750,5
25,8342,3046,5
33,12359,4089,4
35,24804,6530,3
20,43965,13191,6
36,35285,7902,4
24,5018,1605,4
32,13089,4700,7
33,34802,15633,5
29,32764,10891,4
27,8527,2444,4
31,5552,1374,4
32,37693,12181,6
34,18791,5328,4
21,8415,3700,6
23,44727,13344,6
36,19522,6711,6
35,49646,13480,4
32,28412,12027,6
33,45999,15251,4
34,26730,8926,5
18,9396,3613,4
35,17224,5770,5
28,40052,14909,4
31,35172,15494,7
29,31064,12216,2
34,43417,14284,6
28,23128,8737,6
32,19011,6730,6
28,20164,6837,6
25,28925,8516,5
35,37465,12000,5
33,38164,13727,3
38,27495,11675,6
30,34636,13327,5
35,18654,6514,6
39,49993,19197,7
29,16203,4477,8
24,8344,3133,4
29,43928,13736,5
29,26969,10298,5
31,6618,2092,6
38,17333,6088,5
29,14792,5486,5
32,9268,3659,5
29,32178,11464,6
30,46104,14646,4
31,16475,5505,6
36,38080,14439,4
31,17039,5431,5
33,18159,4519,6
33,25791,8579,5
34,34277,11516,5
27,11689,3637,5
37,39807,13585,4
28,5111,1428,4
30,42542,10967,4
36,19323,8726,6
36,21655,7519,4
25,9419,3454,5
26,16292,5955,6
24,21305,11233,6
31,46326,17296,5
31,6952,2495,5
32,44292,13592,6
32,42736,16169,4
27,39836,15234,5
26,10962,4119,4
35,46536,11987,5
33,6816,1922,5
23,42927,17164,6
30,10310,3808,6
26,35084,11540,6
21,12974,4733,3
31,9851,3368,6
30,21657,7421,5
30,35320,11775,4
31,5130,1953,3
34,8479,3011,4
31,34379,12216,5
27,15649,3788,5
27,20603,5206,5
29,40848,10565,7
31,6618,3340,5
25,33236,10740,6
29,24623,8739,4
34,39962,14525,5
30,44646,16610,3
27,44033,10307,4
29,40540,11876,6
35,25190,6802,7
32,21555,7049,6
36,49240,17793,5
31,44324,16860,3
32,42445,14610,4
28,28891,10898,4
33,7241,2328,4
28,20208,6242,4
24,30558,10176,4
31,37145,13925,4
39,49495,17662,5
34,5031,1757,4
35,27644,9356,5
32,45482,20031,6
27,44697,14199,4
29,37840,14287,5
29,28375,8451,5
28,38152,11452,3
33,44947,16478,5
25,21735,5838,5
34,11312,3315,5
34,17683,6677,5
25,18518,6304,6
33,9405,3260,4
41,9837,3456,6
28,17975,7087,4
34,6411,2344,3
27,22415,7696,5
35,36339,12475,3
31,17583,6960,5
37,34278,8517,4
23,29604,8160,5
30,19766,3690,4
28,38535,10450,6
29,17411,5330,6
27,34014,11086,5
26,10950,4169,5
33,25285,9292,4
25,27835,8044,6
37,42899,15171,4
25,38218,12888,4
30,19596,5857,4
32,27843,10807,5
33,48987,20849,5
29,30942,11700,6
30,32729,13472,5
34,26085,9466,5
23,10874,2741,4
27,8906,3783,4
31,10743,4067,4
28,16787,6203,5
36,5863,1889,4
33,8571,2711,6
30,38221,9829,6
23,44824,12727,4
30,39617,13761,4
29,29554,7371,5
30,19501,6179,5
25,28006,11739,5
32,38127,17865,4
25,37318,12215,6
29,40497,14650,5
32,16736,5202,3
26,21992,8152,5
33,49958,20542,6
24,40354,14813,6
17,26406,9092,5
32,15026,6028,6
34,5296,2044,5
29,18211,5410,4
32,7316,2182,3
25,37835,12953,5
29,6698,2032,6
21,29479,11012,4
35,8968,3005,5
38,23475,7913,4
35,35255,13722,5
30,10845,4508,4
30,23417,8692,5
23,22690,9471,7
34,38897,12326,6
29,23881,8164,4
27,9232,2502,4
24,45466,15650,4
29,42806,13149,4
26,9442,3540,5
28,16972,6972,4
25,40751,15498,6
38,24023,8939,4
30,27743,10457,4
35,46817,14156,6
18,24666,8908,4
28,46747,19859,5
27,36968,14375,3
25,10929,3902,4
37,29071,9818,4
24,26988,9491,4
31,26912,10338,4
34,33008,10484,5
31,40164,14138,5
26,6402,2171,4
34,35647,17300,5
31,18740,8130,4
25,37252,11746,5
24,23527,7827,6
39,29034,6097,6
27,47202,18644,6
22,49260,15880,6
32,47225,17901,5
31,45642,17744,6
24,30242,8883,4
21,19689,7217,4
29,48086,16224,6
35,21395,7651,4
33,5885,2200,5
28,41414,13453,5
26,26575,7515,5
31,37380,15014,3
31,18703,6078,4
33,18219,5370,4
28,45880,19632,6
34,39896,10534,5
26,14946,5690,5
29,9086,3271,5
33,28585,8744,6
34,13524,3097,4
21,35382,12742,5
30,41801,17184,7
33,42459,15318,7
24,35390,10820,4
32,44906,15355,5
26,44099,14231,6
35,24660,9344,4
32,17486,6688,4
33,23401,7136,6
31,23410,8771,5
34,45277,15626,5
36,35288,13495,5
39,38800,12438,4
30,30456,10381,4
20,12912,4895,5
30,40105,12260,5
31,11087,3764,4
29,21888,7796,4
33,32277,9357,4
35,47016,15901,5
28,7120,2900,4
29,16507,6093,4
32,20198,5908,5
28,15888,7142,4
30,6137,1953,4
21,37430,17953,6
25,14760,5459,6
24,43204,18576,4
26,25376,7194,5
27,16760,5438,5
32,25922,10035,7
34,10006,3764,5
27,43023,13484,3
26,45920,18511,5
25,16957,5436,6
28,24934,7868,4
29,8854,3467,5
32,12067,4938,6
29,16218,6422,5
21,29916,10995,4
30,44257,13964,4
35,32371,12679,5
35,47061,16856,6
26,9433,2897,7
23,42914,16472,4
41,6470,2139,5
29,19653,5744,4
30,36308,14412,6
32,32906,12277,4
23,45118,15799,4
27,19299,6510,5
23,6557,2345,7
27,32302,10554,4
31,37660,12688,5
24,46616,16470,6
33,13193,4106,7
31,28993,12035,6
26,38310,10104,5
31,7832,2375,5
33,49137,17393,4
35,27384,7957,4
29,15123,5785,7
30,23450,7624,4
30,19528,6651,5
36,35817,15833,5
35,49564,15568,4
34,41179,14936,3
29,7510,2385,5
32,47700,15872,6
32,42084,20153,4
25,42521,16182,6
22,7197,2193,6
33,20072,7780,6
23,6434,1964,4
30,46161,11850,6
31,38962,12800,6
33,29312,8172,5
31,5187,1797,5
27,12994,4051,5
34,24915,9712,4
38,48819,17951,4
34,31775,10103,5
21,21339,5355,6
36,35621,10685,4
30,43558,11246,6
32,49039,17328,7
33,10544,3803,5
30,16067,5436,7
30,12401,4614,4
35,34154,14201,5
33,35891,10181,5
34,35731,14883,6
41,46999,21727,4
33,23164,6760,6
31,18149,4845,4
20,32186,9975,5
42,26907,9004,6
28,15501,5401,5
41,42844,12120,4
32,37881,15795,6
37,6827,2505,5
30,42756,13006,3
32,40782,14052,5
31,48562,12296,4
29,30154,8902,6
29,41365,16519,5
35,17341,6911,3
29,10868,4765,6
21,40376,15849,3
29,17439,6599,5
32,14606,5559,6
33,45713,16680,5
33,22639,8760,4
22,25443,8351,5
32,46374,16457,5
34,44109,17021,6
36,24997,7556,3
29,28971,9722,7
29,11006,3529,6
37,5147,1316,7
23,43022,15499,6
28,26736,8560,6
32,29060,12450,4
23,29367,9803,4
31,40709,15282,4
38,23027,6460,5
30,7538,2735,5
29,31374,10984,5
32,33298,10916,6
29,48123,13985,4
34,48365,11280,4
34,35758,14676,4
30,47408,15349,5
25,45039,13308,4
24,8675,2306,3
27,11397,4065,5
34,27307,7480,5
21,46889,14457,6
22,46079,15975,5
27,49171,12862,6
32,17797,6938,6
26,36413,13613,6
34,16088,5768,6
31,25335,7619,4
29,14689,5665,5
34,6012,2257,5
32,12702,4730,4
28,47143,17309,5
31,27756,8797,4
33,21978,8088,5
32,32697,14047,4
27,47586,13872,5
34,45379,19936,5
35,6243,2516,5
31,38370,15312,5
31,12778,3472,6
30,30447,8592,5
40,36919,12897,6
31,37369,10671,5
29,14016,3990,3
19,5929,1869,4
23,44147,17125,5
30,44874,13299,6
31,24299,8469,6
31,29011,10003,4
34,44903,18636,5
29,28830,11892,5
35,44984,19629,5
26,23435,8277,4
25,21078,8999,4
25,23527,6647,5
33,14035,5211,6
30,26596,8887,2
34,46886,15102,4
29,37659,12880,4
27,12593,4888,3
28,49401,19827,5
22,9477,2712,5
25,29244,8411,6
24,47777,20754,4
35,30728,8313,4
27,9323,3109,6
34,37790,11381,6
37,46588,17162,6
29,9940,3635,6
31,46894,17131,5
22,24649,7611,6
26,28457,11288,4
30,44171,13940,5
31,39699,13264,5
27,46611,14496,6
42,11532,3933,5
28,36817,16316,4
30,46335,17188,3
33,20712,7036,4
30,28084,9556,6
27,31914,11233,4
35,30666,9797,5
37,19423,7295,4
30,37846,12356,5
33,15438,5425,5
30,33242,11105,5
35,13118,5274,5
25,23384,8331,6
40,22807,9314,5
27,16337,5855,5
23,37047,9823,7
28,30884,9131,4
31,38034,14192,4
37,31128,11068,5
34,9862,3336,5
31,44768,14697,5
24,34004,11606,6
26,11519,4278,4
29,36687,15250,5
41,32479,10418,4
22,39996,10214,6
35,29412,10539,4
28,36956,14005,6
37,40380,14819,6
25,9005,3105,4
31,45175,10935,4
25,37647,14062,5
34,46976,19388,6
37,19206,6834,4
39,48445,17827,4
34,39481,14562,5
38,35659,11778,5
36,6642,2791,6
29,46904,16222,5
32,11344,3712,6
26,14113,4501,5
29,31372,11111,6
35,38905,15559,5
32,6340,2552,6
32,29248,9107,6
25,43635,13435,6
27,13388,4011,5
27,29340,11196,5
32,17528,5196,6
26,5454,1704,4
33,41000,17386,6
25,32529,12569,3
38,27201,7202,5
32,13538,4622,4
27,36761,13410,7
31,28404,6529,7
28,30750,10783,5
32,12928,4557,4
31,24993,8276,7
25,5410,1908,4
26,6042,1738,4
31,44422,12820,6
37,40551,13494,4
35,23689,9127,4
27,31943,11937,4
34,41473,10604,6
30,49904,20868,5
31,33087,10083,6
31,46696,15214,5
42,35317,13133,4
25,20159,7915,5
30,29625,11831,5
22,48857,14925,5
33,42665,12335,4
35,11005,4439,5
36,22826,8696,5
21,22893,7896,4
32,24479,8128,4
37,42845,14004,4
28,39154,15024,6
29,26457,10042,5
30,47885,13624,4
32,37378,12723,4
33,8720,3347,3
36,30897,8724,5
30,29540,10411,6
31,20232,8085,5
41,41430,17678,5
32,33193,13482,5
31,46647,15473,7
24,46787,13963,5
30,29923,10126,7
29,43720,14489,7
30,17871,6070,5
27,49842,16643,7
27,20346,7577,6
27,35848,10824,5
29,10967,3651,5
36,9001,3479,7
35,18740,5239,4
28,33392,13091,6
22,29763,11171,5
26,35002,12877,5
28,35559,11659,6
30,15882,4375,4
27,42111,18201,4
39,20091,6065,6
29,13429,6667,5
25,19461,6104,3
29,40333,14979,5
26,14275,4794,3
31,34023,10398,6
31,44121,16804,4
32,9578,3202,6
23,28209,9032,6
31,15425,5741,4
31,44818,11191,5
24,47309,19835,4
34,33422,8804,5
34,49663,12079,7
40,6852,2201,5
31,17777,5231,4
30,22551,9140,5
30,26581,7769,5
30,23466,7865,6
22,26277,9623,5
23,27935,8907,4
30,30540,10879,4
27,41127,12246,6
30,6512,2159,5
21,46882,15077,5
23,14898,5339,5
25,5798,2230,4
34,47489,13867,5
25,38982,12892,7
26,8390,3225,3
30,40061,10701,4
29,48936,19474,7
31,43475,15618,4
40,33181,10901,7
25,16582,6217,6
29,20801,7744,5
28,11298,4067,5
37,6379,2323,4
27,10221,3365,4
30,9057,3124,6
34,8821,3121,5
25,47306,19285,5
37,48890,17164,5
33,25829,6691,5
25,5457,1718,5
32,9104,3724,7
29,17837,7321,5
31,11502,3725,6
30,18444,8090,4
35,23348,7912,6
24,7627,2561,5
28,47063,19203,6
29,5688,1854,5
26,15310,4127,5
25,35107,10761,5
30,18533,4438,4
29,25139,9545,5
19,12900,4568,5
35,24673,8412,4
31,30400,12799,4
41,42984,16246,6
33,11787,4967,5
28,7423,2855,6
43,15625,5619,5
43,13189,4695,6
25,45191,15883,6
32,6140,1890,4
29,43356,13145,6
31,31686,10159,5
31,32248,10723,6
24,8292,3932,4
31,48030,16571,4
38,19355,5712,7
29,5407,1838,5
29,48911,15850,5
36,21496,7472,5
34,32778,9676,7
23,37512,9169,5
31,37514,15376,4
37,40177,12076,6
36,48438,16734,6
32,48948,15863,5
33,42760,14023,3
25,26458,9537,7
31,49220,18345,4
26,23817,9602,3
28,24544,9199,6
34,13594,3475,4
25,33804,11673,5
31,32434,13791,4
32,32998,13294,3
30,32100,14097,6
38,35708,13280,4
25,17534,6635,4
33,17360,6280,5
30,20975,7708,4
29,19435,6939,4
32,28453,9761,4
25,15834,5163,5
24,14365,5196,5
28,36726,15553,5
38,42273,14432,4
30,15971,5036,6
31,31085,14298,5
29,30346,12994,4
32,11322,4882,7
26,34159,13994,5
35,23565,9232,5
33,27449,10599,4
26,27470,8891,6
30,30122,10835,3
33,26980,11280,2
32,17655,4280,5
37,16560,5054,5
27,42058,16222,6
35,5643,1919,7
35,43419,19162,5
29,6511,1920,5
26,36521,16333,5
25,21042,6766,4
32,11008,3568,5
30,44304,17721,4
38,17000,6637,4
32,47912,17633,5
28,46651,11577,4
25,49766,16277,6
27,32772,15120,5
32,28069,8928,4
28,37650,12892,4
32,17544,5884,6
29,24299,10466,6
30,29828,10007,4
27,47808,16269,5
39,17130,4806,6
31,7785,2681,5
31,13994,4064,3
22,44142,9897,5
33,25441,10127,6
25,28586,7706,5
26,41217,12457,5
34,21387,6770,5
28,47825,14955,5
22,21806,8600,6
38,49057,16185,5
19,29423,11513,3
33,5565,1923,6
35,30579,11223,7
27,15192,6632,6
32,18808,6296,7
32,7351,2542,6
35,14523,3946,5
32,21295,9363,4
29,43712,18519,5
34,34542,12638,3
34,22944,8511,4
26,32458,10298,4
24,39737,12556,7
31,33107,12725,6
29,46489,14382,5
26,41615,17244,6
30,14754,5276,5
24,24794,4980,7
31,5305,1416,5
27,30897,9997,4
34,15639,5456,6
41,12355,5009,3
26,9303,3059,5
35,15816,4290,6
34,40250,12247,5
30,25946,8097,5
28,30197,11235,5
37,27862,11829,6
21,31053,8120,5
27,12702,4649,3
24,40936,14243,4
36,40416,11566,6
29,24765,8778,4
28,28521,11020,5
44,11012,3634,6
30,18654,7564,4
28,18512,6062,4
31,36675,12875,6
23,17381,6384,6
32,45585,18679,5
30,45059,15914,7
32,38949,11783,5
26,25834,9818,5
25,48322,17861,5
27,6239,2528,5
27,14191,3865,5
36,35531,12273,6
37,39711,18027,6
29,41924,16275,5
28,15944,5953,4
29,21387,7742,6
30,36250,11785,5
30,14341,5801,6
31,45961,16085,4
27,37357,11514,4
26,48650,18593,7
35,19021,6633,4
28,31331,10122,4
31,22629,8603,4
30,32205,9768,5
26,44060,16113,6
33,8513,3282,6
31,32202,12543,4
36,36219,15784,3
31,48351,12833,4
29,34747,13862,5
31,14536,4587,5
25,18140,7532,5
26,14028,4577,6
32,44990,11853,5
29,10094,3834,5
30,23478,7288,5
29,38116,12570,5
27,29864,9305,5
21,29322,9811,5
32,43186,15176,5
33,13416,5408,6
24,10090,3877,3
37,24806,8541,7
32,45473,18147,5
36,5754,1496,2
26,37088,12831,4
31,18146,8093,4
30,18310,5654,4
33,10570,3875,6
27,5311,1889,6
30,31180,10054,3
22,18550,5584,5
27,14340,4764,5
31,45115,15326,5
27,5540,1903,6
30,28116,8661,6
28,41164,14859,6
33,21884,8051,4
35,17284,5517,4
26,12702,4441,4
29,49702,18349,4
36,49355,14771,4
20,49239,17264,5
29,26341,9571,6
39,14504,6027,6
40,32765,9828,5
31,36979,12218,5
26,47874,15001,6
31,8190,2555,6
27,43578,15875,6
36,42495,10719,6
26,41239,14317,7
32,33979,11723,3
33,43134,10846,6
27,43506,11272,6
34,29653,10385,5
27,46932,14616,4
33,27937,10303,6
35,10446,3660,6
26,41486,12116,5
35,14693,5721,3
28,34668,16732,5
31,6461,1851,5
31,31926,8441,4
28,13938,4992,6
31,10302,3429,5
24,8367,2607,4
29,17017,6976,4
34,28535,9479,3
20,5628,1697,4
23,44322,19831,4
25,20179,9768,5
23,25714,9820,5
32,21280,7548,5
26,5926,1959,4
20,16700,6241,6
27,9819,2598,4
28,6368,1874,6
34,46362,15556,6
25,30377,9069,5
35,43271,19431,6
32,45366,13250,6
32,26261,9820,4
26,10000,3166,6
39,44366,13339,5
29,24369,10180,7
22,10433,2863,5
29,17748,5058,8
21,22861,6956,5
29,9795,3708,5
28,48762,15741,4
33,10854,3532,5
35,10858,3829,5
27,35244,13094,5
34,12500,3988,4
36,46531,19359,6
26,25366,9758,4
27,13696,4721,5
33,41984,13560,6
31,42954,10527,6
32,23313,8613,6
36,38852,18236,5
32,25256,8183,5
35,39772,12987,5
33,35137,13224,4
32,48726,17967,4
32,16647,6174,4
36,24612,9007,5
26,39773,14961,2
25,38163,11072,4
33,14338,5787,3
29,38196,12838,4
30,46385,20152,6
33,20608,7758,5
33,18265,5777,5
29,47764,14945,5
29,6748,2285,5
30,36395,11678,3
35,18335,7026,6
32,8607,3080,3
36,32111,12156,5
30,5559,1668,6
35,16083,5987,5
34,10187,3404,6
33,38519,16149,6
32,44730,13395,6
29,41135,13757,5
30,41060,11956,5
31,35608,10386,4
30,17600,5848,4
34,36663,11704,7
30,24382,7892,5
30,47573,16559,6
28,14508,5371,4
29,48354,15165,5
30,16725,5403,6
20,31209,10008,5
24,12533,4931,5
30,17971,5930,4
29,15376,5647,5
25,46125,13774,5
21,29884,9365,5
28,29751,10757,5
33,40144,13383,5
38,12621,3320,8
30,45474,15321,4
37,25916,8513,5
30,16122,5537,6
31,46328,16061,4
31,34682,13587,6
26,42305,13725,5
30,14183,4010,5
34,29513,11191,5
27,35509,8802,5
29,17596,6343,6
25,11592,3757,7
32,43480,13841,6
32,42329,17482,6
33,45472,14687,6
25,39628,14173,5
30,27735,8687,6
26,48239,22956,6
30,38004,11508,5
36,7925,2607,4
28,49071,14586,6
33,24093,8142,6
27,36022,12466,4
28,15330,6400,4
32,32204,8648,4
27,30926,10973,7
22,19401,7788,6
36,46871,24147,5
32,38060,18261,4
27,25910,10348,4
21,44541,11709,4
39,47341,15651,7
45,25746,8805,4
31,20192,5475,6
34,16318,7271,5
35,12318,5570,6
27,20264,8395,4
28,29653,11968,5
22,14038,3783,5
27,37203,9587,6
33,12873,5136,6
29,26339,11120,5
29,32362,10767,3
29,7898,2740,4
22,25449,9526,6
34,46014,14374,4
24,46959,21580,4
29,22969,5344,4
28,16799,6166,3
29,12763,5750,6
37,20341,7477,4
27,6113,1478,6
26,32019,10307,5
23,36069,13068,3
26,49328,18641,7
25,27856,10590,4
32,32896,12537,6
26,43754,16047,4
31,23780,7407,3
29,46708,17824,7
24,33804,12048,6
26,19552,8515,5
34,26708,8905,6
34,22298,8610,5
39,15535,5540,7
30,25075,9923,3
23,30624,9160,5
27,8850,2303,5
32,11178,4018,6
38,35908,13366,6
30,9998,4094,6
35,19813,5469,7
33,16465,5674,3
25,9192,2285,4
29,17516,5489,4
36,44928,13385,6
34,20055,7838,8
32,21858,7562,7
32,44779,14644,6
28,14291,5509,6
24,40319,12746,5
36,29182,9605,4
24,19926,6311,3
26,27044,8127,4
33,42267,13742,3
24,10499,3515,6
28,25952,8536,4
25,33057,11903,6
33,26298,9760,6
32,16556,4299,7
32,20247,9066,5
32,47993,18957,4
32,36735,12013,4
33,33549,12384,4
21,48803,18754,6
29,28487,11099,4
31,14174,5154,7
33,29132,10535,6
25,26851,8742,4
28,21457,5937,6
25,27297,9211,6
35,39346,13280,5
36,8406,3779,6
34,23508,9253,2
25,13230,4344,7
